┌─────────┬───────────┬───────────────┬────────────────┬───────────┬──────────┬────────────────────┬───────────────┬───────────┬─────────┬──────────┬────────────────────┬─────────────────────────┬───────────────────┐
│ (index) │  ticker   │    sector     │      figi      │  volMax   │  volMin  │        avg         │       t       │    med    │   lot   │  price   │       total        │ total_minPriceIncrement │ minPriceIncrement │
│   131   │  'PMSB'   │  'utilities'  │ 'BBG000MZL0Y6' │   58484   │   1653   │ 11629.42857142857  │   11159680    │   6580    │   10    │  169.6   │        1696        │            1            │        0.1        │
│   132   │  'FESH'   │ 'industrials' │ 'BBG000QF1Q17' │  1277421  │   135    │ 102457.07142857143 │   109287012   │   21954   │   100   │  49.78   │        4978        │            1            │       0.01        │
│   133   │  'POLY'   │  'materials'  │ 'BBG004PYF2N3' │  6953767  │  22246   │ 1552816.142857143  │ 872160984.15  │ 1303873.5 │    1    │  668.9   │       668.9        │           0.1           │        0.1        │
│   134   │  'CBOM'   │  'financial'  │ 'BBG009GSYN76' │  1516155  │   300    │ 469611.21428571426 │   300491312   │  434236   │   100   │   6.92   │        692         │           0.1           │       0.001       │
│   135   │  'MSTT'   │ 'industrials' │ 'BBG004S68DD6' │  735964   │   2690   │ 84270.80952380953  │  66754720.5   │   25779   │   10    │  258.95  │       2589.5       │           0.5           │       0.05        │
│   136   │  'DASB'   │  'utilities'  │ 'BBG000LWVHN8' │ -Infinity │ Infinity │        NaN         │       0       │     0     │  1000   │  0.0869  │        86.9        │           0.1           │      0.0001       │
│   137   │  'MRKC'   │  'utilities'  │ 'BBG000VH7TZ8' │  4397515  │  36614   │ 637927.1904761905  │  86838585.6   │  244478   │  1000   │  0.3552  │       355.2        │           0.2           │      0.0002       │
│   138   │  'IRAO'   │  'utilities'  │ 'BBG004S68473' │  2087283  │  13001   │ 629024.9642857143  │ 265783788.45  │ 663961.5  │   100   │  4.003   │       400.3        │          0.05           │      0.0005       │
│   139   │  'CNTL'   │   'telecom'   │ 'BBG000BBV4M5' │  533855   │   2094   │ 45419.04761904762  │   18077740    │   10735   │   100   │  16.84   │        1684        │            2            │       0.02        │
│   140   │  'KAZT'   │  'materials'  │ 'BBG002B9MYC1' │   26516   │   773    │ 5020.0952380952385 │   19855152    │   2952    │   10    │  672.6   │        6726        │            2            │        0.2        │
│   141   │  'AFLT'   │  'consumer'   │ 'BBG004S683W7' │  9375609  │  14374   │ 2509617.535714286  │  590488007.5  │ 1527387.5 │   10    │  38.66   │ 386.59999999999997 │           0.2           │       0.02        │
│   142   │  'ABRD'   │  'consumer'   │ 'BBG002W2FT69' │  475753   │  14125   │ 107906.19047619047 │   130811200   │   50312   │   10    │   260    │        2600        │            5            │        0.5        │
└─────────┴───────────┴───────────────┴────────────────┴───────────┴──────────┴────────────────────┴───────────────┴───────────┴─────────┴──────────┴────────────────────┴─────────────────────────┴───────────────────┘



