┌─────────┬───────────┬───────────────┬────────────────┬───────────┬──────────┬────────────────────┬───────────────┬───────────┬─────────┬──────────┬────────────────────┬─────────────────────────┬───────────────────┐
│ (index) │  ticker   │    sector     │      figi      │  volMax   │  volMin  │        avg         │       t       │    med    │   lot   │  price   │       total        │ total_minPriceIncrement │ minPriceIncrement │
│   29    │  'MRKP'   │  'utilities'  │ 'BBG000VG1034' │  371049   │   8329   │ 52381.142857142855 │   35394562    │   15703   │  10000  │  0.2254  │        2254        │            1            │      0.0001       │
│   30    │  'KAZTP'  │  'materials'  │ 'BBG002B9T6Y1' │   13839   │   171    │ 1934.904761904762  │    5430530    │    805    │   10    │  674.6   │        6746        │            2            │        0.2        │
│   31    │  'LKOH'   │   'energy'    │ 'BBG004731032' │  3660601  │   5272   │ 664848.3571428572  │ 2934997188.75 │ 624135.5  │    1    │  4702.5  │       4702.5       │           0.5           │        0.5        │
│   32    │  'PLZL'   │  'materials'  │ 'BBG000R607Y3' │  614728   │   455    │     160522.75      │  1395865674   │  133206   │    1    │  10479   │       10479        │           0.5           │        0.5        │
│   33    │  'BSPB'   │  'financial'  │ 'BBG000QJW156' │  1376531  │  104184  │ 401007.1904761905  │   434348196   │  249110   │   10    │  174.36  │ 1743.6000000000001 │           0.1           │       0.01        │
│   34    │  'UNKL'   │  'materials'  │ 'BBG002YFXL29' │   11009   │   219    │ 1908.3333333333333 │   14512550    │   1345    │    1    │  10790   │       10790        │           10            │        10         │
│   35    │  'TCSG'   │  'financial'  │ 'BBG00QPYJ5H0' │  665100   │  84638   │ 245745.14285714287 │   497034760   │  184840   │    1    │   2689   │        2689        │           0.5           │        0.5        │
│   36    │  'MGTSP'  │   'telecom'   │ 'BBG000PZ0833' │  256362   │   4942   │ 84592.33333333333  │   61644608    │   42928   │    1    │   1436   │        1436        │            2            │         2         │
│   37    │  'SBER'   │  'financial'  │ 'BBG004730N88' │ 11590576  │  17954   │ 4880839.892857143  │ 10353343993.2 │  4404179  │   10    │  235.08  │       2350.8       │           0.1           │       0.01        │
│   38    │  'PHOR'   │  'materials'  │ 'BBG004S689R0' │  312469   │   346    │ 67191.29629629629  │   405893616   │   55724   │    1    │   7284   │        7284        │            1            │         1         │
│   39    │  'PRFN'   │  'materials'  │ 'BBG003BNWBP3' │  433907   │  18168   │ 136850.47619047618 │  36170968.6   │   88894   │   100   │  4.069   │       406.9        │           0.1           │       0.001       │
│   40    │  'SVAV'   │  'consumer'   │ 'BBG004S68JR8' │  468137   │   3148   │ 82002.19047619047  │   63789825    │   15279   │   10    │  417.5   │        4175        │            5            │        0.5        │
│   41    │  'UNAC'   │ 'industrials' │ 'BBG000Q7ZZY2' │  198143   │  15992   │ 46392.76190476191  │   20039230    │   27451   │  1000   │   0.73   │        730         │           0.5           │      0.0005       │
│   42    │  'IRGZ'   │  'utilities'  │ 'BBG000NL6ZD9' │ -Infinity │ Infinity │        NaN         │       0       │     0     │   100   │  14.02   │        1402        │            2            │       0.02        │
│   43    │  'AMEZ'   │  'materials'  │ 'BBG000RJWGC4' │  102459   │   3156   │ 15520.47619047619  │   94634190    │   10143   │   100   │   93.3   │        9330        │           0.5           │       0.005       │
│   44    │  'DSKY'   │  'consumer'   │ 'BBG000BN56Q9' │   94280   │   4707   │ 29561.809523809523 │   14805824    │   21031   │   10    │   70.4   │        704         │           0.2           │       0.02        │
│   45    │  'MRKY'   │  'utilities'  │ 'BBG000C7P5M7' │  225915   │   2835   │ 22858.904761904763 │    4082400    │   9072    │  10000  │  0.045   │        450         │           0.5           │      0.00005      │
│   46    │  'UWGN'   │ 'industrials' │ 'BBG008HD3V85' │ 20700151  │  451785  │ 4764607.904761905  │  485446666.4  │  2594584  │    1    │  187.1   │       187.1        │           0.1           │        0.1        │
│   47    │  'GEMC'   │ 'health_care' │ 'BBG011MCM288' │  377402   │  10829   │       45582        │  11152510.4   │   25544   │    1    │  436.6   │       436.6        │           0.1           │        0.1        │
│   48    │  'BELU'   │  'consumer'   │ 'BBG000TY1CD1' │  389290   │   1188   │ 96556.32142857143  │   285551244   │  63625.5  │    1    │   4488   │        4488        │            1            │         1         │
│   49    │  'NKHP'   │ 'industrials' │ 'BBG00BGKYH17' │   35708   │   290    │ 4434.857142857143  │    6690380    │   1681    │   10    │   398    │        3980        │            5            │        0.5        │
│   50    │  'CNTLP'  │   'telecom'   │ 'BBG0027F0Y27' │  306860   │   5644   │ 65723.85714285714  │   56161392    │   39662   │   100   │  14.16   │        1416        │            2            │       0.02        │
│   51    │  'GLTR'   │ 'industrials' │ 'BBG000VFX6Y4' │  1241131  │  55208   │ 268505.90476190473 │  121159688.1  │  263362   │    1    │  460.05  │       460.05       │          0.05           │       0.05        │
│   52    │  'FIVE'   │  'consumer'   │ 'BBG00JXPFBN0' │  406091   │   3261   │ 135962.07142857142 │   184589503   │ 118478.5  │    1    │   1558   │        1558        │           0.5           │        0.5        │
│   53    │  'BANE'   │   'energy'    │ 'BBG004S68758' │  191150   │   4578   │ 41195.76190476191  │  31126045.5   │   23679   │    1    │  1314.5  │       1314.5       │           0.5           │        0.5        │
│   54    │  'OKEY'   │  'consumer'   │ 'BBG00172J7S9' │  556268   │  10590   │ 112748.76190476191 │   21644067    │   67427   │   10    │   32.1   │        321         │           0.1           │       0.01        │
│   55    │  'TRMK'   │ 'industrials' │ 'BBG004TC84Z8' │  1582570  │   1381   │ 304593.5714285714  │   152699093   │  147821   │   10    │  103.3   │        1033        │           0.2           │       0.02        │
│   56    │  'POSI'   │     'it'      │ 'TCS00A103X66' │  569017   │   2012   │     136147.25      │  174491403.9  │ 101815.5  │    1    │  1713.8  │       1713.8       │           0.2           │        0.2        │
│   57    │  'BANEP'  │   'energy'    │ 'BBG004S686N0' │  2489909  │  22671   │ 297756.1904761905  │   66159585    │   56985   │    1    │   1161   │        1161        │           0.5           │        0.5        │
